H2Hs,Opponent,W,L,Win%,TB,TBW,TBL,TB%,First Match,Last Match,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
1,Juan Pablo Ficovich [ARG],0,1,0.0%,0,0,0,,6‑Aug‑2018,6‑Aug‑2018,0,,,,,,,,,,
1,Giacomo Dambrosi [ITA],1,0,100.0%,1,0,1,0.0%,6‑Aug‑2018,6‑Aug‑2018,0,,,,,,,,,,
1,Jordi Samper Montana [ESP],0,1,0.0%,0,0,0,,25‑Jun‑2018,25‑Jun‑2018,1,0.75,1.9%,11.1%,53.7%,58.6%,36.0%,48.1%,39.1%,16.7%,75.0%
1,Maxime Tabatruong [FRA],0,1,0.0%,0,0,0,,28‑May‑2018,28‑May‑2018,0,,,,,,,,,,
1,Federico Iannaccone [ITA],1,0,100.0%,0,0,0,,28‑May‑2018,28‑May‑2018,0,,,,,,,,,,
1,Giovanni Fonio [ITA],0,1,0.0%,0,0,0,,14‑May‑2018,14‑May‑2018,0,,,,,,,,,,
1,Filippo Moroni [ITA],1,0,100.0%,1,1,0,100.0%,14‑May‑2018,14‑May‑2018,0,,,,,,,,,,
1,Jacopo Stefanini [ITA],1,0,100.0%,0,0,0,,14‑May‑2018,14‑May‑2018,0,,,,,,,,,,
1,Pawel Cias [POL],0,1,0.0%,0,0,0,,7‑May‑2018,7‑May‑2018,0,,,,,,,,,,
1,Timur Kiuamov [RUS],1,0,100.0%,1,1,0,100.0%,7‑May‑2018,7‑May‑2018,0,,,,,,,,,,
1,Yaraslau Shyla [BLR],0,1,0.0%,0,0,0,,26‑Mar‑2018,26‑Mar‑2018,0,,,,,,,,,,
1,Mateo Nicolas Martinez [ARG],1,0,100.0%,0,0,0,,26‑Mar‑2018,26‑Mar‑2018,0,,,,,,,,,,
1,Rudolf Molleker [GER],0,1,0.0%,0,0,0,,19‑Mar‑2018,19‑Mar‑2018,0,,,,,,,,,,
1,Guy Den Heijer [NED],0,1,0.0%,1,0,1,0.0%,12‑Mar‑2018,12‑Mar‑2018,0,,,,,,,,,,
1,Johan Sebastien Tatlot [FRA],0,1,0.0%,0,0,0,,29‑Jan‑2018,29‑Jan‑2018,0,,,,,,,,,,
1,Aryan Goveas [IND],1,0,100.0%,0,0,0,,29‑Jan‑2018,29‑Jan‑2018,0,,,,,,,,,,
