Surface,Outcome_raw,Outcome,DR,A%,DF%,1stIn,1st%,2nd%,DR,TPW,RPW,vA%,v1st%,v2nd%
Hard,Pablo Carreno Busta [ESP] d. (7)Sinner,L,0.63,9.3%,3.7%,50.0%,77.8%,44.4%,0.63,43.7%,24.5%,2.0%,21.9%,29.4%
Hard,(7)Sinner d. (Q)Adrian Mannarino [FRA],W,0.98,16.5%,5.1%,53.2%,78.6%,48.6%,0.98,50.7%,34.8%,7.2%,28.9%,41.9%
Clay,(2)Sinner d. (1)Carlos Alcaraz [ESP],W,1.36,6.5%,4.3%,57.6%,77.4%,61.5%,1.36,56.9%,40.0%,2.7%,38.0%,44.0%
Clay,(2)Sinner d. (Q)Franco Agamenone [ITA],W,1.74,0.0%,2.3%,62.8%,77.8%,56.3%,1.74,59.6%,52.5%,0.0%,40.5%,70.8%
Clay,(2)Sinner d. Roberto Carballes Baena [ESP],W,1.45,8.8%,2.9%,51.5%,82.9%,60.6%,1.45,55.1%,40.5%,1.3%,38.5%,44.4%
Clay,(2)Sinner d. Jaume Munar [ESP],W,1.25,1.5%,5.9%,52.9%,72.2%,50.0%,1.25,55.0%,47.6%,1.6%,31.3%,64.5%
Grass,(1)Novak Djokovic [SRB] d. (10)Sinner,L,0.79,6.0%,5.2%,53.7%,69.4%,50.0%,0.79,46.2%,31.3%,6.3%,17.6%,58.1%
Grass,(10)Sinner d. (5)Carlos Alcaraz [ESP],W,1.27,2.8%,3.5%,57.3%,74.4%,65.6%,1.27,55.3%,37.2%,7.4%,34.6%,42.5%
Grass,(10)Sinner d. (20)John Isner [USA],W,1.46,2.1%,3.2%,55.8%,81.1%,69.0%,1.46,55.2%,35.4%,24.2%,25.0%,58.1%
Grass,(10)Sinner d. Mikael Ymer [SWE],W,1.47,3.8%,4.7%,59.4%,79.4%,55.8%,1.47,55.3%,44.3%,1.4%,43.3%,46.0%
Grass,(10)Sinner d. Stan Wawrinka [SUI],W,1.34,7.8%,2.6%,63.8%,77.0%,59.5%,1.34,54.0%,39.4%,7.6%,29.7%,48.5%
Grass,Tommy Paul [USA] d. (2)Sinner,L,1.02,6.6%,5.3%,48.7%,81.1%,59.0%,1.02,48.5%,30.8%,0.0%,18.9%,47.4%
Clay,(7)Andrey Rublev [RUS] d. (11)Sinner,L,0.79,9.1%,4.5%,51.5%,70.6%,50.0%,0.79,48.2%,31.3%,8.3%,16.7%,55.6%
